name,generic_name,manufacturer,category,price,dosage,description
Mysoline,Primidone,Valeant,Anticonvulsant,39.99,250mg,"Epilepsy treatment"
Felbatol,Felbamate,Meda,Anticonvulsant,129.99,400mg,"Seizure medication"
Gabitril,Tiagabine,Cephalon,Anticonvulsant,89.99,4mg,"Epilepsy treatment"
Zonegran,Zonisamide,Eisai,Anticonvulsant,79.99,100mg,"Seizure medication"
Sabril,Vigabatrin,Lundbeck,Anticonvulsant,199.99,500mg,"Epilepsy treatment"
Lyrica CR,Pregabalin,Pfizer,Pain Relief,159.99,165mg,"Extended-release nerve pain medication"
Gralise,Gabapentin,Assertio,Pain Relief,139.99,300mg,"Once-daily nerve pain treatment"
Horizant,Gabapentin Enacarbil,Arbor,Pain Relief,149.99,600mg,"Nerve pain medication"
Savella,Milnacipran,Allergan,Pain Relief,119.99,50mg,"Fibromyalgia treatment"
Cymbalta DR,Duloxetine,Eli Lilly,Pain Relief,89.99,60mg,"Delayed-release pain medication"
Nucynta,Tapentadol,Collegium,Pain Relief,199.99,50mg,"Severe pain treatment"
Ultram ER,Tramadol,Janssen,Pain Relief,69.99,100mg,"Extended-release pain relief"
Opana,Oxymorphone,Endo,Pain Relief,159.99,5mg,"Severe pain medication"
Butrans,Buprenorphine,Purdue,Pain Relief,299.99,5mcg/hr,"Pain relief patch"
Duragesic,Fentanyl,Janssen,Pain Relief,249.99,25mcg/hr,"Pain management patch"
Exalgo,Hydromorphone,Mallinckrodt,Pain Relief,179.99,8mg,"Extended-release pain medication"
Zohydro ER,Hydrocodone,Currax,Pain Relief,189.99,10mg,"Extended-release pain relief"
Embeda,Morphine/Naltrexone,Pfizer,Pain Relief,199.99,20mg/0.8mg,"Abuse-deterrent pain medication"
Hysingla ER,Hydrocodone,Purdue,Pain Relief,169.99,20mg,"Extended-release pain treatment"
Xtampza ER,Oxycodone,Collegium,Pain Relief,209.99,9mg,"Abuse-deterrent pain medication"
Conzip,Tramadol,Vertical,Pain Relief,149.99,200mg,"Extended-release pain relief"
Rybix ODT,Tramadol,Shionogi,Pain Relief,129.99,50mg,"Orally disintegrating pain medication"
Ryzolt,Tramadol,Purdue,Pain Relief,139.99,100mg,"Extended-release pain treatment"
Ultracet,Tramadol/Acetaminophen,Janssen,Pain Relief,59.99,37.5mg/325mg,"Combination pain relief"
Skelaxin,Metaxalone,King,Muscle Relaxant,89.99,800mg,"Muscle relaxant medication"
Zanaflex,Tizanidine,Acorda,Muscle Relaxant,69.99,4mg,"Muscle spasm treatment"
Flexeril,Cyclobenzaprine,Johnson & Johnson,Muscle Relaxant,49.99,10mg,"Muscle relaxant therapy"
Robaxin,Methocarbamol,Endo,Muscle Relaxant,39.99,750mg,"Muscle pain relief"
Soma,Carisoprodol,Meda,Muscle Relaxant,59.99,350mg,"Muscle relaxant medication"
Norflex,Orphenadrine,3M,Muscle Relaxant,79.99,100mg,"Muscle relaxant therapy"
Amrix,Cyclobenzaprine,Teva,Muscle Relaxant,99.99,15mg,"Extended-release muscle relaxant"
Lorzone,Chlorzoxazone,Vertical,Muscle Relaxant,69.99,375mg,"Muscle relaxant medication"
Dantrium,Dantrolene,Par,Muscle Relaxant,119.99,25mg,"Muscle spasticity treatment"
Baclofen,Baclofen,Various,Muscle Relaxant,29.99,10mg,"Muscle relaxant therapy"
